host,target
RNF170,TMA16
RNF170,SLC1A1
RNF170,CAPN15
RNF170,RCOR1
RNF170,PIK3C2B
RNF170,ZMAT3
RNF170,GATAD2B
RNF170,PSMB2
RNF170,ZBTB7A
RNF170,PTPRG
RNF170,KIAA1191
RNF170,PPP6R1
RNF170,DYNLL2
RNF170,GPR75
RNF170,ENDOD1
RNF170,PLD6
RNF170,PPM1F
RNF170,NSD1
RNF170,PPP1R1A
RNF170,CCDC43
RNF170,TMEM74B
RNF170,ARC
RNF170,SRARP
RNF170,SLCO1B3
RNF170,TBPL2
RNF170,QKI
RNF170,PEX5L
RNF170,CSNK2A1
RNF170,ADRB1
RNF170,GDE1
RNF170,RNF20
RNF170,MAZ
RNF170,HOXA10
RNF170,GABARAPL1
RNF170,CCNT1
RNF170,KMT2D
RNF170,BACH1
RNF170,GAN
RNF170,MTMR10
RNF170,LINS1
RNF170,CDH8
RNF170,LSAMP
RNF170,HOXB6
RNF170,PLCXD3
RNF170,AGTRAP
RNF170,BIRC5
RNF170,NODAL
RNF170,EIF2B5
RNF170,FCRL4
RNF170,SH3PXD2A
RNF170,POU2F1
RNF170,MYOCD
RNF170,EXTL3
RNF170,ZNF488
RNF170,QPRT
RNF170,MYO1F
RNF170,LENG9
RNF170,TSKU
RNF170,RHOB
RNF170,GIPC1
RNF170,CLUAP1
RNF170,ARSE
RNF170,CNNM3
RNF170,PHF1
RNF170,TNFSF15
RNF170,F11R
RNF170,SORD
RNF170,ATP6AP1L
RNF170,PAOX
RNF170,KLHL9
RNF170,UBXN2A
RNF170,DCTN5
RNF170,SVOP
RNF170,FAHD2A
RNF170,LINC00598
RNF170,RUSC2
RNF170,EMX2
RNF170,KSR2
RNF170,DVL1
RNF170,CALHM5
RNF170,KLHL12
RNF170,XRCC2
RNF170,TXLNB
RNF170,GABRG2
RNF170,MKKS
RNF170,HLCS
RNF170,CDC42EP4
RNF170,ZSCAN22
RNF170,VN1R1
RNF170,CCR5
RNF170,KCTD7
RNF170,PTCD3
RNF170,SLC35B1
RNF170,CLNK
RNF170,ZNF638
RNF170,TMEM87B
RNF170,TMEM170B
RNF170,SLC5A12
RNF170,SH3BP5L
RNF170,SEC63
RNF170,PLEKHA2
RNF170,PITPNM3
RNF170,PDCL
RNF170,ONECUT3
RNF170,OCIAD2
RNF170,MON1B
RNF170,KCNJ6
RNF170,JPH3
RNF170,GTDC1
RNF170,GRIN2B
RNF170,FRMPD4
RNF170,DERL2
RNF170,CLIC5
RNF170,RAB43
RNF170,SHISA6
RNF170,KCNQ3
RNF170,GPC5
RNF170,AREL1
RNF170,KCNK12
RNF170,FER
RNF170,PI4K2B
RNF170,TMEM109
RNF170,TMEM170A
RNF170,HRK
RNF170,ARRB1
RNF170,ANTXR2
RNF170,SPIRE2
RNF170,TOGARAM2
RNF170,SPTLC2
RNF170,TFAP2A
RNF170,NEURL1B
RNF170,BCAS2
RNF170,ZNF483
RNF170,STC1
RNF170,SHB
RNF170,PHF21B
RNF170,DUOX2
RNF170,C1orf210
RNF170,ANTXR1
RNF170,HEYL
RNF170,RAB13
RNF170,VAT1
RNF170,ST8SIA3
RNF170,CA8
RNF170,TRIB1
RNF170,SEMA3E
RNF170,CENPN
RNF170,STC2
RNF170,GNAZ
RNF170,MACROD2
RNF170,STOML1
RNF170,SND1
RNF170,TDRD6
RNF170,TMEM151B
RNF170,SLC25A17
RNF170,DUSP28
RNF170,PPP1R3G
RNF170,IQCE
RNF170,C2orf48
RNF170,FAM110A
RNF170,TBC1D13
RNF170,C1orf50
RNF170,FAM213A
RNF170,SURF6
RNF170,PATJ
RNF170,PLXNA3
RNF170,PTPN14
RNF170,KLHL25
RNF170,WDR5B
RNF170,PELI3
RNF170,ZMIZ2
RNF170,ZNF22
RNF170,CMBL
RNF170,ZNF562
RNF170,IQSEC1
RNF170,SLC27A2
RNF170,SH2D4A
RNF170,MRPS27
RNF170,SIT1
RNF170,CD68
RNF170,PYCARD
RNF170,TMX4
RNF170,PTGIS
RNF170,PRKAB1
RNF170,KRT32
RNF170,UNC13D
RNF170,ZNF644
RNF170,ZNF48
RNF170,ZNF398
RNF170,ZNF225
RNF170,ZDHHC5
RNF170,ZBTB21
RNF170,ZBTB16
RNF170,TRIM66
RNF170,TRIM39
RNF170,TRIM33
RNF170,THBS2
RNF170,SP9
RNF170,SMG7
RNF170,SLC30A3
RNF170,SLC25A32
RNF170,SLC12A5
RNF170,SHANK2
RNF170,SELENON
RNF170,RAP2B
RNF170,PSMB5
RNF170,POMGNT1
RNF170,PHF19
RNF170,PANK1
RNF170,PALM2
RNF170,NFE2L1
RNF170,MEX3A
RNF170,MDFI
RNF170,MCU
RNF170,MAP3K9
RNF170,LNPEP
RNF170,LCOR
RNF170,KIAA1958
RNF170,GRID1
RNF170,GPR107
RNF170,GJD3
RNF170,FAM102B
RNF170,DPY19L1
RNF170,DENR
RNF170,CYBB
RNF170,CXXC5
RNF170,CTSV
RNF170,CGGBP1
RNF170,CCDC171
RNF170,CAPRIN1
RNF170,BHLHE40
RNF170,ADAM19
